,,,,,,,,size,bitrate,,,,,,,,,,
format,"http://res.cloudinary.com/dougsillars/video/upload/,,,vc_h264:high/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 26,355,373.00 "," 7,002,656.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/,,,vc_h264:main/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 25,865,567.00 "," 6,872,514.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/,,,vc_h264:baseline/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 37,380,100.00 "," 9,931,940.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/br_10m,,,vc_h264:high/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 24,982,441.00 "," 6,637,866.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/br_5m,,,vc_h264:high/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 16,056,305.00 "," 4,266,180.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/br_2m,,,vc_h264:high/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 7,704,543.00 "," 2,047,106.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/br_1m,,,vc_h264:high/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 4,432,810.00 "," 1,177,803.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/br_500k,,,vc_h264:high/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 2,728,490.00 "," 724,963.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/w_1920,,,vc_h264:high/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 8,045,980.00 "," 2,137,827.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
format,"http://res.cloudinary.com/dougsillars/video/upload/w_1280,,,vc_h264:high/v1534228645/30s4kbbb_oblsgc.mp4",2,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0,30.109," 4,465,286.00 "," 1,186,432.00 ",100,isom,512,isomiso2avc1mp41,"Big Buck Bunny, Sunflower version","Blender Foundation 2008, Janus Bager Kristensen 2013",Sacha Goedegebure,Lavf57.83.100,Creative Commons Attribution 3.0 - http://bbb3d.renderfarming.net,Animation
